score,Malicious URL count,android_target_sdk_min,uses_http,apk_leaked_data_sdcard,keysize_check,world_writable_files_check,world_readable_files_check,allow_backup_check,secure_random_check,leaked_data_in_files_android_id,leaked_data_in_files_wifi_ip,leaked_logcat_data_build_fingerprint,api_excessive_data_exposure,api_resource_misconfiguration,leaked_data_in_files_build_fingerprint,apk_sqlite,snoop_network_hosts,sensitive_data_flow,writable_executable_files_private_check,writable_executable_files_check,sdcard_file_list,decode_apk_check,decompile_apk_check,application_overprivileged_check,api_authentication,leaked_logcat_data_android_id,leaked_logcat_data_gpslatitude,leaked_logcat_data_imei,leaked_logcat_data_phonenumber,apk_in_app_updates,leaked_logcat_data_surrounding_wifi_network_bssid,leaked_logcat_data_surrounding_wifi_network_ssid,leaked_logcat_data_wifi_ip,leaked_logcat_data_zipcode,sensitive_data_http_android_id,cookie_without_httponly_flag,cookie_without_secure_flag,sensitive_data_http_gpslatitude,zip_file_in_transit_check,sensitive_data_http_password,sensitive_data_cert_validation,sensitive_data_http_username,remote_code_execution,arbitrary_code_execution_probable,leaked_data_in_files_email,leaked_data_in_files_firstname,leaked_data_in_files_gpslatitude,leaked_data_in_files_gpslongitude,leaked_data_in_files_imei,leaked_data_in_files_localwifimac,leaked_data_in_files_serial,leaked_data_in_files_surrounding_wifi_network_ssid,leaked_data_in_files_username,leaked_data_in_files_wifi_mac,leaked_data_in_files_zipcode,dynamic_code_loading_check,javascript_interface_check
45.4,8.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45.4,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
80.1,15.0,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
78.4,11.0,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
91.7,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
45.7,21.0,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
81.2,13.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
48.4,16.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
78.0,9.0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
46.3,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
78.3,10.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85.6,18.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
85.6,8.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
81.7,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
46.3,16.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45.9,10.0,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
