ip,num1,num2,date1,date2
185.224.128.017,475183,9728,2022-11-18,2024-07-12
089.248.163.200,283096,9396,2022-09-21,2024-07-12
046.017.096.038,179809,8960,2022-08-12,2024-07-12
104.156.155.014,339042,8761,2022-01-18,2024-07-12
091.148.190.146,34098,8255,2023-05-27,2024-06-20
104.156.155.009,99995,8241,2022-04-25,2024-07-12
080.082.077.144,154221,8157,2022-12-27,2024-07-10
091.191.209.198,157503,8153,2022-06-13,2024-07-12
031.220.001.083,166860,7737,2022-06-09,2024-07-12
089.248.163.205,166577,7439,2022-11-20,2024-07-12
185.094.111.001,86455,7310,2021-09-11,2024-07-12
139.162.190.203,69871,5559,2021-09-11,2024-07-12
162.142.125.245,52383,4716,2022-01-27,2024-07-12
162.142.125.247,52368,4697,2022-01-27,2024-07-12
162.142.125.248,52355,4690,2022-01-27,2024-07-12
162.142.125.244,51790,4680,2022-01-27,2024-07-12
162.142.125.252,51897,4673,2022-01-27,2024-07-12
066.240.205.034,51602,4671,2021-09-11,2024-07-12
162.142.125.250,52104,4656,2022-01-27,2024-07-12
079.124.062.062,53422,4655,2021-09-20,2024-07-12
162.142.125.251,51596,4635,2022-01-27,2024-07-12
162.142.125.254,52051,4633,2022-01-27,2024-07-12
162.142.125.253,51763,4631,2022-01-27,2024-07-12
162.142.125.246,51823,4618,2022-01-27,2024-07-12
162.142.125.249,51831,4617,2022-01-27,2024-07-12
162.142.125.243,51714,4574,2022-01-27,2024-07-12
162.142.125.090,50573,4535,2021-09-12,2024-07-12
162.142.125.094,50372,4532,2021-09-11,2024-07-12
207.090.244.006,50541,4525,2022-12-10,2024-07-12
162.142.125.091,50280,4522,2021-09-11,2024-07-12
162.142.125.089,49890,4513,2021-09-11,2024-07-12
162.142.125.083,50178,4501,2021-09-11,2024-07-12
162.142.125.084,50253,4500,2021-09-11,2024-07-12
080.082.077.033,46793,4497,2021-09-12,2024-07-12
162.142.125.087,49770,4496,2021-09-04,2024-07-12
162.142.125.093,50500,4488,2021-09-11,2024-07-12
080.082.077.139,47165,4488,2021-09-12,2024-07-12
162.142.125.080,50577,4481,2021-09-11,2024-07-12
162.142.125.092,49789,4479,2021-09-11,2024-07-12
162.142.125.086,49721,4473,2021-09-11,2024-07-12
162.142.125.085,49747,4468,2021-09-11,2024-07-12
207.090.244.003,49735,4466,2022-12-08,2024-07-12
162.142.125.081,49679,4456,2021-09-11,2024-07-12
162.142.125.088,49576,4446,2021-09-11,2024-07-12
162.142.125.082,50217,4438,2021-09-12,2024-07-12
162.142.125.095,49927,4405,2021-09-11,2024-07-12
207.090.244.005,50193,4392,2022-12-10,2024-07-12
071.006.199.023,44838,4282,2021-09-11,2024-07-12
185.142.239.016,44694,4242,2021-09-11,2024-07-12
162.142.125.236,43759,4210,2022-01-27,2024-07-12
162.142.125.230,43874,4208,2022-01-27,2024-07-12
162.142.125.227,43889,4198,2022-01-27,2024-07-12
162.142.125.240,43646,4188,2022-01-27,2024-07-12
162.142.125.233,43644,4178,2022-01-27,2024-07-12
162.142.125.229,43814,4173,2022-01-27,2024-07-12
162.142.125.241,43460,4163,2022-01-27,2024-07-12
162.142.125.242,43537,4151,2022-01-27,2024-07-12
162.142.125.234,43454,4150,2022-01-27,2024-07-12
162.142.125.235,43738,4150,2022-01-27,2024-07-12
162.142.125.232,43322,4146,2022-01-27,2024-07-12
162.142.125.228,43542,4144,2022-01-27,2024-07-12
162.142.125.239,43645,4142,2022-01-27,2024-07-12
162.142.125.238,43609,4119,2022-01-27,2024-07-12
167.094.145.027,41914,4112,2021-11-19,2024-07-12
185.142.236.038,47074,4111,2021-09-11,2024-07-12
162.142.125.231,42988,4109,2022-01-27,2024-07-12
167.094.145.029,42142,4105,2021-11-19,2024-07-12
167.094.145.025,42343,4103,2021-11-19,2024-07-12
162.142.125.237,43657,4083,2022-01-27,2024-07-12
167.094.145.016,41306,4078,2021-11-19,2024-07-12
